"filename", "language", "JSON", "Log", "JavaScript", "XML", "HTML", "JSON with Comments", "Markdown", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/auth/LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 9, 112
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/auth/MePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/auth/RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 9, 149
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/auth/VerifyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 14, 207
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/pages/course/CourseInteractionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 484, 0, 0, 31, 53, 568
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 6
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/styles/ParticleBackground.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/theme.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/src/utils/axios.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 2, 9, 74
"/Users/zhaojiace/Documents/StartupProjects/AIonlineSchool/Codes2/A/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"Total", "-", 21276, 1, 22, 1, 20, 30, 38, 2080, 229, 70, 86, 253, 24106
